Source,Target,Weight,Journal
"Fauset, Jessie","Allison, Madeline G.",27,crisis-edges
"Fauset, Jessie","Brown, Richard L.",2,crisis-edges
"Fauset, Jessie","Dickerman, G. S.",2,crisis-edges
"Fauset, Jessie","Villard, Oswald Garrison",6,crisis-edges
"Fauset, Jessie","Russell, Charles Edward",2,crisis-edges
"Fauset, Jessie","Fawcett, James Waldo",3,crisis-edges
"Fauset, Jessie","Canfield, Dorothy",2,crisis-edges
"Fauset, Jessie","Hughes, Langston",10,crisis-edges
"Fauset, Jessie","Hershaw, L. M.",7,crisis-edges
"Fauset, Jessie","Walts, Frank",2,crisis-edges
"Fauset, Jessie","Jones, Scipio",2,crisis-edges
"Fauset, Jessie","Jackson, May Howard",2,crisis-edges
"Terrell, Mary Church","Hershaw, L. M.",2,crisis-edges
"Saunders, Vincent","Villard, Oswald Garrison",2,crisis-edges
"Saunders, Vincent","Bagnall, Robert W.",2,crisis-edges
"Saunders, Vincent","Scott, William E.",2,crisis-edges
"Saunders, Vincent","Watkins, Lucian B.",2,crisis-edges
"Saunders, Vincent","Johnson, Georgia Douglas",3,crisis-edges
"Talbert, Mary B.","Johnson, Georgia Douglas",2,crisis-edges
"Johnson, Georgia Douglas","Newsome, Effie Lee",2,crisis-edges
"Johnson, Georgia Douglas",Underwood and Underwood,4,crisis-edges
"Johnson, Georgia Douglas",Scurlock,2,crisis-edges
"Johnson, Georgia Douglas","Watkins, Lucian B.",3,crisis-edges
"Johnson, Georgia Douglas","Steward, T. G.",2,crisis-edges
"Johnson, Georgia Douglas","Walts, Frank",2,crisis-edges
"Johnson, Georgia Douglas","Carter, George R.",2,crisis-edges
"Johnson, Georgia Douglas","Hughes, Langston",2,crisis-edges
"Johnson, Georgia Douglas","Lewin, Rose Dorothy",2,crisis-edges
"Johnson, Georgia Douglas","Allison, Madeline G.",5,crisis-edges
"Johnson, Georgia Douglas","Storey, Moorfield",2,crisis-edges
"Burch, Charles Eaton","Allison, Madeline G.",2,crisis-edges
"Dickerman, G. S.","Villard, Oswald Garrison",2,crisis-edges
"Pickens, William","Allison, Madeline G.",3,crisis-edges
"Spencer, Anne","Allison, Madeline G.",2,crisis-edges
"Spencer, Anne","Walts, Frank",2,crisis-edges
"Chesnutt, Charles W.","Villard, Oswald Garrison",2,crisis-edges
"Chesnutt, Charles W.","Brown, Richard L.",2,crisis-edges
"Chesnutt, Charles W.","Brawley, Benjamin",3,crisis-edges
"Chesnutt, Charles W.","Hershaw, L. M.",2,crisis-edges
Underwood and Underwood,"Brawley, Benjamin",2,crisis-edges
Underwood and Underwood,"Allison, Madeline G.",2,crisis-edges
Underwood and Underwood,"Walts, Frank",2,crisis-edges
"Storey, Moorfield","Villard, Oswald Garrison",2,crisis-edges
"Murray, Ella Rush","Allison, Madeline G.",2,crisis-edges
"Allison, Madeline G.",J. F.,2,crisis-edges
"Allison, Madeline G.","Jordan, Winifred Virginia",4,crisis-edges
"Allison, Madeline G.","Cotter, Joseph S.",2,crisis-edges
"Allison, Madeline G.","Bagnall, Robert W.",3,crisis-edges
"Allison, Madeline G.","Fawcett, James Waldo",3,crisis-edges
"Allison, Madeline G.","Newsome, Effie Lee",6,crisis-edges
"Allison, Madeline G.","Stoddard, Yetta Kay",2,crisis-edges
"Allison, Madeline G.","Canfield, Dorothy",2,crisis-edges
"Allison, Madeline G.","Hughes, Langston",11,crisis-edges
"Allison, Madeline G.","McKay, Claude",2,crisis-edges
"Allison, Madeline G.","Francique, John",2,crisis-edges
"Allison, Madeline G.","Walts, Frank",3,crisis-edges
"Allison, Madeline G.","Jones, Scipio",2,crisis-edges
"Walts, Frank","Holmes, John Haynes",2,crisis-edges
"Jones, Scipio","Hughes, Langston",2,crisis-edges
"Hershaw, L. M.","Villard, Oswald Garrison",3,crisis-edges
"Hughes, Langston","Fawcett, James Waldo",2,crisis-edges
"Hughes, Langston","Newsome, Effie Lee",4,crisis-edges
"Hughes, Langston","McKay, Claude",2,crisis-edges
"Russell, Charles Edward","Villard, Oswald Garrison",3,crisis-edges
"Villard, Oswald Garrison",Scurlock,2,crisis-edges
"Brawley, Benjamin","Watkins, Lucian B.",2,crisis-edges
