Source,Target,Weight,Journal
"Whitby, Charles J.","Aldred, Guy A.",3,marsden-edges
"Whitby, Charles J.",M. S.,2,marsden-edges
"Whitby, Charles J.","Low, B.",4,marsden-edges
"Whitby, Charles J.",A. F.,2,marsden-edges
"Whitby, Charles J.","West, Rebecca",9,marsden-edges
"Whitby, Charles J.","Guthrie, Edward K.",2,marsden-edges
"Whitby, Charles J.","Woods, R. C. Fletcher",2,marsden-edges
"Whitby, Charles J.","Haynes, E. S. P.",3,marsden-edges
"Whitby, Charles J.","Weston, Selwyn",7,marsden-edges
"Whitby, Charles J.",A New Subscriber,2,marsden-edges
"Whitby, Charles J.","Harpur, Caldwell",2,marsden-edges
"Whitby, Charles J.",M. C.,2,marsden-edges
"Whitby, Charles J.","Hindshaw, Winifred",3,marsden-edges
"Whitby, Charles J.","Kitson, Arthur",2,marsden-edges
"Whitby, Charles J.","Lewis, Arthur D.",6,marsden-edges
"Whitby, Charles J.","Haughton, Amy",2,marsden-edges
"Whitby, Charles J.",B. L.,3,marsden-edges
"Whitby, Charles J.","Sinclair, Upton",2,marsden-edges
"Whitby, Charles J.","Gallichan, Walter M.",2,marsden-edges
"Whitby, Charles J.","Gawthorpe, Mary",2,marsden-edges
"Whitby, Charles J.","Boord, Coralie M.",4,marsden-edges
"Whitby, Charles J.","Birnstingl, Harry J.",2,marsden-edges
"Whitby, Charles J.",X,2,marsden-edges
"Whitby, Charles J.","Prewett, Frances",2,marsden-edges
"Whitby, Charles J.","D'Auvergne, Edmund B.",3,marsden-edges
"Whitby, Charles J.",A. B.,3,marsden-edges
"Whitby, Charles J.","Lansbury, George",3,marsden-edges
"Whitby, Charles J.","Norman, C. H.",3,marsden-edges
"Whitby, Charles J.","Carter, Huntly",4,marsden-edges
"Whitby, Charles J.",Various Hands,2,marsden-edges
"Whitby, Charles J.",Drysdale (Dr.),2,marsden-edges
"Whitby, Charles J.","Mortished, R. J. P.",3,marsden-edges
"Whitby, Charles J.","Horwitz, Israel",2,marsden-edges
"Whitby, Charles J.","Hunt, Chas. F.",8,marsden-edges
"Whitby, Charles J.","Visiak, E. H.",5,marsden-edges
"Whitby, Charles J.",Mother No. 2,2,marsden-edges
"Whitby, Charles J.","Oliver, Kathlyn",4,marsden-edges
"Whitby, Charles J.","Drysdale, Charles V.",2,marsden-edges
"Whitby, Charles J.","Herrin, Edwin",2,marsden-edges
"Whitby, Charles J.","Watson, E. M.",3,marsden-edges
"Felton, John",D. M.,3,marsden-edges
"Felton, John","Carter, Huntly",3,marsden-edges
"Felton, John","Marsden, Dora",3,marsden-edges
"Felton, John","Ciolkowska, Muriel",2,marsden-edges
"Felton, John",Folgore da San Gemignano,2,marsden-edges
"Felton, John","Aldington, Richard",3,marsden-edges
"Visiak, E. H.","Foss, William",3,marsden-edges
"Visiak, E. H.","Macdonald, W. A.",4,marsden-edges
"Visiak, E. H.","Gaskell, Ellen S.",2,marsden-edges
"Visiak, E. H.","Ed. of ""The Freewoman""",16,marsden-edges
"Visiak, E. H.","Skovgaard-Pedersen, Amy",2,marsden-edges
"Visiak, E. H.","Ciolkowska, Muriel",2,marsden-edges
"Visiak, E. H.","Pearce, I. D.",3,marsden-edges
"Visiak, E. H.",M. S.,2,marsden-edges
"Visiak, E. H.","D'Auvergne, Edmund B.",6,marsden-edges
"Visiak, E. H.","Low, B.",5,marsden-edges
"Visiak, E. H.","West, Rebecca",12,marsden-edges
"Visiak, E. H.","Guthrie, Edward K.",3,marsden-edges
"Visiak, E. H.",A. B.,2,marsden-edges
"Visiak, E. H.","Haynes, E. S. P.",2,marsden-edges
"Visiak, E. H.","Jacobs, E.",2,marsden-edges
"Visiak, E. H.","Weston, Selwyn",4,marsden-edges
"Visiak, E. H.","Langworthy, F.",2,marsden-edges
"Visiak, E. H.","Clark, Helen Gordon (M.D.)",2,marsden-edges
"Visiak, E. H.","Aldred, Guy A.",4,marsden-edges
"Visiak, E. H.","Rubinstein, H. F.",2,marsden-edges
"Visiak, E. H.","Graham, Rachel",2,marsden-edges
"Visiak, E. H.","Kitson, Arthur",4,marsden-edges
"Visiak, E. H.","Browne, F. W. Stella",2,marsden-edges
"Visiak, E. H.","Birnstingl, Harry J.",4,marsden-edges
"Visiak, E. H.","Higgs, Mary",2,marsden-edges
"Visiak, E. H.",P. W.,2,marsden-edges
"Visiak, E. H.","Lewis, Arthur D.",6,marsden-edges
"Visiak, E. H.","Haughton, Amy",2,marsden-edges
"Visiak, E. H.",B. L.,2,marsden-edges
"Visiak, E. H.","Kauffman, Reginald Wright",2,marsden-edges
"Visiak, E. H.","Scott, K. D.",2,marsden-edges
"Visiak, E. H.","Brodie, Mimi",2,marsden-edges
"Visiak, E. H.","Gawthorpe, Mary",5,marsden-edges
"Visiak, E. H.","Granville, Charles",2,marsden-edges
"Visiak, E. H.","Boord, Coralie M.",5,marsden-edges
"Visiak, E. H.","Macdonald, Helen M.",4,marsden-edges
"Visiak, E. H.",Drysdale (Dr.),2,marsden-edges
"Visiak, E. H.","Mylius, E. F.",2,marsden-edges
"Visiak, E. H.","Jones, Gladys",2,marsden-edges
"Visiak, E. H.","Norman, C. H.",4,marsden-edges
"Visiak, E. H.","Chew, Ada Nield",3,marsden-edges
"Visiak, E. H.","Carter, Huntly",2,marsden-edges
"Visiak, E. H.","Billington-Greig, Teresa",2,marsden-edges
"Visiak, E. H.","Mortished, R. J. P.",2,marsden-edges
"Visiak, E. H.","Eder, M. D.",2,marsden-edges
"Visiak, E. H.",B. A. S.,2,marsden-edges
"Visiak, E. H.","Lansbury, George",2,marsden-edges
"Visiak, E. H.","Harding, G. L.",3,marsden-edges
"Visiak, E. H.","Fysher, Greevz",2,marsden-edges
"Visiak, E. H.","Willcocks, M. P.",2,marsden-edges
"Visiak, E. H.","Hamilton, Helen",3,marsden-edges
"Visiak, E. H.","Donisthorpe, Wordsworth",2,marsden-edges
"Visiak, E. H.","Hunt, Chas. F.",3,marsden-edges
"Visiak, E. H.","Oliver, Kathlyn",3,marsden-edges
"Visiak, E. H.","Drysdale, Charles V.",2,marsden-edges
"Visiak, E. H.","Watson, E. M.",3,marsden-edges
"Radford, Margaret Maitland","Henry, Leigh",2,marsden-edges
"Radford, Margaret Maitland",Saint Fiacre,2,marsden-edges
"Radford, Margaret Maitland",D. M.,2,marsden-edges
"Radford, Margaret Maitland","Aldington, Richard",2,marsden-edges
"Radford, Margaret Maitland","Joyce, James",2,marsden-edges
"Spire, André","Ciolkowska, Muriel",2,marsden-edges
"Spire, André","Aldington, Richard",2,marsden-edges
"Spire, André","Carter, Huntly",2,marsden-edges
P. T. T.,"Ed. of ""The Freewoman""",3,marsden-edges
P. T. T.,"Oliver, Kathlyn",2,marsden-edges
P. T. T.,"Norman, C. H.",2,marsden-edges
P. T. T.,"Kitson, Arthur",2,marsden-edges
P. T. T.,"Browne, F. W. Stella",2,marsden-edges
P. T. T.,"Gawthorpe, Mary",2,marsden-edges
P. T. T.,"West, Rebecca",3,marsden-edges
Sappho,"Ciolkowska, Muriel",2,marsden-edges
Sappho,"Groff, Alice",2,marsden-edges
Sappho,"Aldington, Richard",3,marsden-edges
Sappho,"Carter, Huntly",2,marsden-edges
Sappho,"Marsden, Dora",2,marsden-edges
Sappho,"Ed. of ""The Egoist""",2,marsden-edges
Sappho,"Storer, Edward",2,marsden-edges
Sappho,"Pound, Ezra",2,marsden-edges
R. G.,"De Gourmont, Remy",2,marsden-edges
R. G.,"Aldington, Richard",2,marsden-edges
R. G.,"Ed. of ""The New Freewoman""",2,marsden-edges
R. G.,"Sartoris, C.",2,marsden-edges
R. G.,"Byington, Steven T.",2,marsden-edges
"Willcocks, M. P.","Ed. of ""The Freewoman""",4,marsden-edges
"Willcocks, M. P.","Skovgaard-Pedersen, Amy",2,marsden-edges
"Willcocks, M. P.","Gawthorpe, Mary",2,marsden-edges
"Willcocks, M. P.","Norman, C. H.",3,marsden-edges
"Willcocks, M. P.","Langworthy, F.",2,marsden-edges
"Willcocks, M. P.","West, Rebecca",3,marsden-edges
"Willcocks, M. P.","Kitson, Arthur",2,marsden-edges
"Willcocks, M. P.","Browne, F. W. Stella",2,marsden-edges
"Willcocks, M. P.","Guthrie, Edward K.",2,marsden-edges
"Willcocks, M. P.",B. L.,2,marsden-edges
C. M.,D. M.,4,marsden-edges
C. M.,"Joyce, James",4,marsden-edges
C. M.,"Ciolkowska, Muriel",4,marsden-edges
C. M.,"Fletcher, John Gould",2,marsden-edges
C. M.,"Groff, Alice",3,marsden-edges
C. M.,"Harpur, Caldwell",4,marsden-edges
C. M.,"Hare, William Loftus",2,marsden-edges
C. M.,"Aldington, Richard",5,marsden-edges
C. M.,"Montagu-Nathan, M.",2,marsden-edges
C. M.,"Marsden, Dora",3,marsden-edges
C. M.,"Carter, Huntly",4,marsden-edges
C. M.,"Kerr, R. B.",2,marsden-edges
C. M.,"Byington, Steven T.",2,marsden-edges
C. M.,"Flint, F. S.",2,marsden-edges
C. M.,"Pound, Ezra",2,marsden-edges
C. M.,"Randall, Alec W. G.",2,marsden-edges
"Lautréamont, Comte de",D. M.,4,marsden-edges
"Lautréamont, Comte de","Joyce, James",2,marsden-edges
"Lautréamont, Comte de","Ciolkowska, Muriel",5,marsden-edges
"Lautréamont, Comte de","Fletcher, John Gould",3,marsden-edges
"Lautréamont, Comte de","Harpur, Caldwell",2,marsden-edges
"Lautréamont, Comte de","Groff, Alice",2,marsden-edges
"Lautréamont, Comte de","Aldington, Richard",5,marsden-edges
"Lautréamont, Comte de","Cournos, John",3,marsden-edges
"Lautréamont, Comte de","Carter, Huntly",5,marsden-edges
"Lautréamont, Comte de","Marsden, Dora",5,marsden-edges
"Lautréamont, Comte de",F. T. S.,2,marsden-edges
"Lautréamont, Comte de","Pound, Ezra",2,marsden-edges
"Lautréamont, Comte de",E. H. W.,2,marsden-edges
"Lautréamont, Comte de","Altenberg, Peter",2,marsden-edges
Bulteau (Madame),"De Gourmont, Remy",2,marsden-edges
Bulteau (Madame),"Haynes, E. S. P.",2,marsden-edges
Bulteau (Madame),"Sartoris, C.",2,marsden-edges
Bulteau (Madame),E. P.,2,marsden-edges
Bulteau (Madame),"Tucker, Benjamin R.",2,marsden-edges
Bulteau (Madame),"Hueffer, Ford Maddox",2,marsden-edges
Bulteau (Madame),"Ed. of ""The New Freewoman""",2,marsden-edges
Bulteau (Madame),"Aldington, Richard",2,marsden-edges
"Bain, A. M.","Ed. of ""The Freewoman""",2,marsden-edges
"Bain, A. M.","Low, B.",2,marsden-edges
"Bain, A. M.","West, Rebecca",2,marsden-edges
"De Gourmont, Remy","Meulen, Henry",2,marsden-edges
"De Gourmont, Remy","Kauffman, Reginald Wright",3,marsden-edges
"De Gourmont, Remy","Williams, William Carlos",2,marsden-edges
"De Gourmont, Remy",D. M.,3,marsden-edges
"De Gourmont, Remy","Ed. of ""The New Freewoman""",9,marsden-edges
"De Gourmont, Remy","McClure, Jack",2,marsden-edges
"De Gourmont, Remy","Ed. of ""The Egoist""",3,marsden-edges
"De Gourmont, Remy","Tucker, Benjamin R.",7,marsden-edges
"De Gourmont, Remy","Groff, Alice",5,marsden-edges
"De Gourmont, Remy","Sartoris, C.",13,marsden-edges
"De Gourmont, Remy","Hueffer, Ford Maddox",2,marsden-edges
"De Gourmont, Remy","Byington, Steven T.",8,marsden-edges
"De Gourmont, Remy","Holley, Horace",2,marsden-edges
"De Gourmont, Remy",Saint Fiacre,2,marsden-edges
"De Gourmont, Remy",The Chancellor,2,marsden-edges
"De Gourmont, Remy","Aldington, Richard",12,marsden-edges
"De Gourmont, Remy","Carter, Huntly",9,marsden-edges
"De Gourmont, Remy","Cannéll, Skipwith",2,marsden-edges
"De Gourmont, Remy","Flint, F. S.",3,marsden-edges
"De Gourmont, Remy","Kerr, R. B.",2,marsden-edges
"De Gourmont, Remy","Marsden, Dora",2,marsden-edges
"De Gourmont, Remy","Pound, Ezra",10,marsden-edges
"De Gourmont, Remy","Tiens Ferme""",2,marsden-edges
"De Gourmont, Remy","West, Rebecca",4,marsden-edges
"De Gourmont, Remy","Swartz, Clarence Lee",3,marsden-edges
"De Gourmont, Remy","Ciolkowska, Muriel",7,marsden-edges
"De Gourmont, Remy","Upward, Allen",7,marsden-edges
"De Gourmont, Remy",F. R. A. I.,3,marsden-edges
"De Gourmont, Remy","Mowrer, Edgar A.",3,marsden-edges
"De Gourmont, Remy",K'ung the Master,3,marsden-edges
"De Gourmont, Remy","Joyce, James",6,marsden-edges
"De Gourmont, Remy","Haynes, E. S. P.",2,marsden-edges
"De Gourmont, Remy",R. R. W.,2,marsden-edges
"De Gourmont, Remy","Henry, Leigh",3,marsden-edges
"De Gourmont, Remy",E. P.,3,marsden-edges
"De Gourmont, Remy","Fletcher, John Gould",3,marsden-edges
"De Gourmont, Remy","Hall, Bolton",3,marsden-edges
"De Gourmont, Remy","Cournos, John",2,marsden-edges
"De Gourmont, Remy","von Helmholtz, Bastien",2,marsden-edges
"De Gourmont, Remy",H. D.,3,marsden-edges
"De Gourmont, Remy",H. S. W.,2,marsden-edges
"De Gourmont, Remy",F. T. S.,2,marsden-edges
"De Gourmont, Remy",H. S. C.,2,marsden-edges
"De Gourmont, Remy","Watson, E. M.",2,marsden-edges
"Hare, William Loftus",D. M.,3,marsden-edges
"Hare, William Loftus","Carter, Huntly",2,marsden-edges
"Hare, William Loftus","Marsden, Dora",3,marsden-edges
"Hare, William Loftus","Joyce, James",3,marsden-edges
"Hare, William Loftus","Ciolkowska, Muriel",3,marsden-edges
"Hare, William Loftus","Byington, Steven T.",2,marsden-edges
"Hare, William Loftus","Harpur, Caldwell",2,marsden-edges
"Hare, William Loftus","Aldington, Richard",3,marsden-edges
"Hare, William Loftus","Kuehn, Herman",2,marsden-edges
"Oliver, Kathlyn","Macdonald, W. A.",2,marsden-edges
"Oliver, Kathlyn","Gallichan, Walter M.",2,marsden-edges
"Oliver, Kathlyn","Gawthorpe, Mary",2,marsden-edges
"Oliver, Kathlyn",B. A. S.,2,marsden-edges
"Oliver, Kathlyn","Boord, Coralie M.",2,marsden-edges
"Oliver, Kathlyn","Robinson, Rona (M.Sc.)",2,marsden-edges
"Oliver, Kathlyn","Browne, F. W. Stella",2,marsden-edges
"Oliver, Kathlyn","Macdonald, Helen M.",3,marsden-edges
"Oliver, Kathlyn",Drysdale (Dr.),2,marsden-edges
"Oliver, Kathlyn","Foss, William",3,marsden-edges
"Oliver, Kathlyn","Norman, C. H.",4,marsden-edges
"Oliver, Kathlyn","Low, B.",2,marsden-edges
"Oliver, Kathlyn",A. F.,2,marsden-edges
"Oliver, Kathlyn","Gerrare, W.",2,marsden-edges
"Oliver, Kathlyn","Mortished, R. J. P.",2,marsden-edges
"Oliver, Kathlyn","West, Rebecca",7,marsden-edges
"Oliver, Kathlyn","Melvin, Alice",2,marsden-edges
"Oliver, Kathlyn","Hadley, Helena",2,marsden-edges
"Oliver, Kathlyn","Haynes, E. S. P.",3,marsden-edges
"Oliver, Kathlyn","Swan, F. R. (Rev.)",2,marsden-edges
"Oliver, Kathlyn","Weston, Selwyn",4,marsden-edges
"Oliver, Kathlyn","Skovgaard-Pedersen, Amy",2,marsden-edges
"Oliver, Kathlyn","Ed. of ""The Freewoman""",9,marsden-edges
"Oliver, Kathlyn","Hindshaw, Winifred",2,marsden-edges
"Oliver, Kathlyn","Chapman, Dorothy",2,marsden-edges
"Oliver, Kathlyn","Kitson, Arthur",2,marsden-edges
"Oliver, Kathlyn","Wearne, Virginia K.",2,marsden-edges
"Oliver, Kathlyn","Lewis, Arthur D.",3,marsden-edges
"Oliver, Kathlyn","Warde, Julian",2,marsden-edges
"Oliver, Kathlyn",B. L.,5,marsden-edges
"Oliver, Kathlyn","Watson, E. M.",3,marsden-edges
"Hunt, Chas. F.","Foss, William",2,marsden-edges
"Hunt, Chas. F.","Meulen, Henry",2,marsden-edges
"Hunt, Chas. F.","Macdonald, W. A.",5,marsden-edges
"Hunt, Chas. F.","Ed. of ""The Freewoman""",13,marsden-edges
"Hunt, Chas. F.","Ciolkowska, Muriel",3,marsden-edges
"Hunt, Chas. F.","Avis, Tallis",2,marsden-edges
"Hunt, Chas. F.","Brace, Jennie C.",2,marsden-edges
"Hunt, Chas. F.","Collins, Fred",2,marsden-edges
"Hunt, Chas. F.","Skelhorn, S.",2,marsden-edges
"Hunt, Chas. F.","Low, B.",4,marsden-edges
"Hunt, Chas. F.","Craig, Jane",3,marsden-edges
"Hunt, Chas. F.","West, Rebecca",8,marsden-edges
"Hunt, Chas. F.","Guthrie, Edward K.",2,marsden-edges
"Hunt, Chas. F.","Haynes, E. S. P.",3,marsden-edges
"Hunt, Chas. F.","Weston, Selwyn",6,marsden-edges
"Hunt, Chas. F.","Aldred, Guy A.",3,marsden-edges
"Hunt, Chas. F.","Hindshaw, Winifred",2,marsden-edges
"Hunt, Chas. F.","Rubinstein, H. F.",2,marsden-edges
"Hunt, Chas. F.","Graham, Rachel",2,marsden-edges
"Hunt, Chas. F.","Drysdale, Bessie",2,marsden-edges
"Hunt, Chas. F.","Kitson, Arthur",3,marsden-edges
"Hunt, Chas. F.","Oyler, Philip",3,marsden-edges
"Hunt, Chas. F.","Lewis, Arthur D.",11,marsden-edges
"Hunt, Chas. F.","Haughton, Amy",4,marsden-edges
"Hunt, Chas. F.",B. L.,4,marsden-edges
"Hunt, Chas. F.","Sinclair, Upton",2,marsden-edges
"Hunt, Chas. F.","Scott, K. D.",2,marsden-edges
"Hunt, Chas. F.","Gawthorpe, Mary",4,marsden-edges
"Hunt, Chas. F.","Boord, Coralie M.",3,marsden-edges
"Hunt, Chas. F.","Birnstingl, Harry J.",2,marsden-edges
"Hunt, Chas. F.","Binns, Henry Bryan",3,marsden-edges
"Hunt, Chas. F.","Macdonald, Helen M.",3,marsden-edges
"Hunt, Chas. F.","Holley, Horace",2,marsden-edges
"Hunt, Chas. F.",A. B.,2,marsden-edges
"Hunt, Chas. F.","Norman, C. H.",5,marsden-edges
"Hunt, Chas. F.","Carter, Huntly",2,marsden-edges
"Hunt, Chas. F.","Schvan, August",2,marsden-edges
"Hunt, Chas. F.","Mortished, R. J. P.",2,marsden-edges
"Hunt, Chas. F.","Leatham, Isabel",4,marsden-edges
"Hunt, Chas. F.","Lafitte, Françoise",2,marsden-edges
"Hunt, Chas. F.","Horwitz, Israel",2,marsden-edges
"Hunt, Chas. F.","Jones, Gladys",2,marsden-edges
"Hunt, Chas. F.","Fysher, Greevz",2,marsden-edges
"Hunt, Chas. F.","Browne, Edith A.",3,marsden-edges
"Hunt, Chas. F.","Pearce, I. D.",2,marsden-edges
"Hunt, Chas. F.","Hamilton, Helen",2,marsden-edges
"Hunt, Chas. F.",Bloomsbury,2,marsden-edges
"Hunt, Chas. F.","Donisthorpe, Wordsworth",2,marsden-edges
"Hunt, Chas. F.","D'Auvergne, Edmund B.",4,marsden-edges
"Hunt, Chas. F.",X,2,marsden-edges
"Hunt, Chas. F.",B. A. S.,3,marsden-edges
"Hunt, Chas. F.","Drysdale, Charles V.",3,marsden-edges
"Hunt, Chas. F.","Watson, E. M.",2,marsden-edges
"Kristian, Roald","Moore, Marianne",2,marsden-edges
"Kristian, Roald","Lewis, Wyndham",5,marsden-edges
"Kristian, Roald","Ciolkowska, Muriel",7,marsden-edges
"Kristian, Roald","Henry, Leigh",3,marsden-edges
"Kristian, Roald","Lafon, André",2,marsden-edges
"Kristian, Roald","Groff, Alice",2,marsden-edges
"Kristian, Roald","Pulley, Honor M.",2,marsden-edges
"Kristian, Roald","Aldington, Richard",6,marsden-edges
"Kristian, Roald","Cournos, John",2,marsden-edges
"Kristian, Roald","Carter, Huntly",3,marsden-edges
"Kristian, Roald",H. S. W.,3,marsden-edges
"Kristian, Roald",H. D.,4,marsden-edges
"Kristian, Roald","Marriott, Ernest",2,marsden-edges
"Kristian, Roald","Flint, F. S.",4,marsden-edges
"Kristian, Roald","Randall, Alec W. G.",3,marsden-edges
"Kristian, Roald","Pound, Ezra",4,marsden-edges
"Kristian, Roald","Fontenelle, Bernard le Bovier de",2,marsden-edges
"Johnson, Fanny","Ed. of ""The Freewoman""",2,marsden-edges
Apteryx,"Henry, Leigh",2,marsden-edges
Apteryx,"Fletcher, John Gould",2,marsden-edges
Apteryx,"Marsden, Dora",2,marsden-edges
Apteryx,"Ciolkowska, Muriel",2,marsden-edges
Apteryx,"Eliot, T. S.",2,marsden-edges
"Hewson, Arthur","Ed. of ""The Freewoman""",3,marsden-edges
"Hewson, Arthur","Skovgaard-Pedersen, Amy",2,marsden-edges
"Hewson, Arthur","Hindshaw, Winifred",2,marsden-edges
"Hewson, Arthur","Foss, William",2,marsden-edges
"Hewson, Arthur","Norman, C. H.",2,marsden-edges
"Hewson, Arthur","Graham, Rachel",2,marsden-edges
"Hewson, Arthur","Kitson, Arthur",2,marsden-edges
"Hewson, Arthur","West, Rebecca",2,marsden-edges
"Hewson, Arthur","Guthrie, Edward K.",3,marsden-edges
"Compton-Rickett, Leonard A.","Teulon Porter, Noel",2,marsden-edges
"Compton-Rickett, Leonard A.","Carter, Huntly",2,marsden-edges
"Compton-Rickett, Leonard A.",H. S. C.,2,marsden-edges
"Compton-Rickett, Leonard A.",Auceps,2,marsden-edges
"Compton-Rickett, Leonard A.","Joyce, James",3,marsden-edges
"Compton-Rickett, Leonard A.","Ed. of ""The Egoist""",3,marsden-edges
"Compton-Rickett, Leonard A.","Aldington, Richard",3,marsden-edges
"Compton-Rickett, Leonard A.","Jameson, Storm",2,marsden-edges
"Lansbury, George",A. B.,2,marsden-edges
"Lansbury, George","Boord, Coralie M.",2,marsden-edges
"Lansbury, George","Ed. of ""The Freewoman""",3,marsden-edges
"Lansbury, George","Pearce, I. D.",2,marsden-edges
"Lansbury, George","West, Rebecca",3,marsden-edges
"Lansbury, George","Lewis, Arthur D.",2,marsden-edges
"Lansbury, George","Mortished, R. J. P.",2,marsden-edges
"Shanafelt, Clara","Moore, Marianne",2,marsden-edges
"Shanafelt, Clara",D. M.,2,marsden-edges
"Shanafelt, Clara","Fletcher, John Gould",2,marsden-edges
"Shanafelt, Clara","Harpur, Caldwell",2,marsden-edges
"Shanafelt, Clara","Groff, Alice",2,marsden-edges
"Shanafelt, Clara","Aldington, Richard",3,marsden-edges
"Shanafelt, Clara","Cournos, John",3,marsden-edges
"Shanafelt, Clara","Kristian, Raoul",2,marsden-edges
"Shanafelt, Clara","Montagu-Nathan, M.",3,marsden-edges
"Shanafelt, Clara","Carter, Huntly",2,marsden-edges
"Shanafelt, Clara","Marsden, Dora",2,marsden-edges
"Shanafelt, Clara",H. D.,2,marsden-edges
"Shanafelt, Clara","Lewis, Wyndham",2,marsden-edges
"Shanafelt, Clara","Randall, Alec W. G.",4,marsden-edges
"Shanafelt, Clara","Pound, Ezra",3,marsden-edges
"Shanafelt, Clara","Wagstaff, Blanche Shoemaker",2,marsden-edges
"Shanafelt, Clara","Ciolkowska, Muriel",5,marsden-edges
T. S. E.,"Marsden, Dora",3,marsden-edges
T. S. E.,"Aldington, Richard",3,marsden-edges
T. S. E.,"Pound, Ezra",3,marsden-edges
T. S. E.,"Symons, Arthur",3,marsden-edges
T. S. E.,"Lewis, Wyndham",2,marsden-edges
T. S. E.,"Ciolkowska, Muriel",3,marsden-edges
"Kristian, Raoul",D. M.,3,marsden-edges
"Kristian, Raoul","Marsden, Dora",2,marsden-edges
"Kristian, Raoul","Joyce, James",2,marsden-edges
"Kristian, Raoul","Ciolkowska, Muriel",3,marsden-edges
"Kristian, Raoul","Fletcher, John Gould",3,marsden-edges
"Kristian, Raoul","Randall, Alec W. G.",3,marsden-edges
"Kristian, Raoul","Montagu-Nathan, M.",3,marsden-edges
"Kristian, Raoul","Harpur, Caldwell",2,marsden-edges
"Kristian, Raoul","Aldington, Richard",3,marsden-edges
"Kristian, Raoul","Cournos, John",2,marsden-edges
"Upward, Allen",M. de V.-M.,2,marsden-edges
"Upward, Allen","Meulen, Henry",2,marsden-edges
"Upward, Allen","Ed. of ""The New Freewoman""",6,marsden-edges
"Upward, Allen","Ed. of ""The Egoist""",4,marsden-edges
"Upward, Allen","Tucker, Benjamin R.",4,marsden-edges
"Upward, Allen","Groff, Alice",2,marsden-edges
"Upward, Allen","Sartoris, C.",7,marsden-edges
"Upward, Allen","Aldington, Richard",8,marsden-edges
"Upward, Allen","Byington, Steven T.",5,marsden-edges
"Upward, Allen","Holley, Horace",2,marsden-edges
"Upward, Allen",Saint Fiacre,2,marsden-edges
"Upward, Allen","Carter, Huntly",8,marsden-edges
"Upward, Allen","Pound, Ezra",7,marsden-edges
